time,body_name,x,y,z,vx,vy,vz
0,Sun,0,0,0,0,0,0
0,Mercury,5.791e+10,0,0,0,47870,0
0,Venus,1.082e+11,0,0,0,35020,0
0,Earth,1.496e+11,0,0,0,29780,0
0,Mars,2.279e+11,0,0,0,24130,0
0,Jupiter,7.785e+11,0,0,0,13070,0
0,Saturn,1.433e+12,0,0,0,9690,0
0,Uranus,2.877e+12,0,0,0,6810,0
0,Neptune,4.503e+12,0,0,0,5430,0
3600,Sun,3.64795,0,0,0.00101332,0,0
3600,Mercury,5.79095e+10,1.72332e+08,0,-142.505,47870,0
3600,Venus,1.082e+11,1.26072e+08,0,-40.8195,35020,0
3600,Earth,1.496e+11,1.07208e+08,0,-21.3535,29780,0
3600,Mars,2.279e+11,8.6868e+07,0,-9.20013,24130,0
3600,Jupiter,7.785e+11,4.7052e+07,0,-0.788225,13070,0
3600,Saturn,1.433e+12,3.4884e+07,0,-0.233783,9690,0
3600,Uranus,2.877e+12,2.4516e+07,0,-0.0578983,6810,0
3600,Neptune,4.503e+12,1.9548e+07,0,-0.0236243,5430,0
7200,Sun,10.9438,0.0010115,0,0.00202664,2.80973e-07,0
7200,Mercury,5.79085e+10,3.44662e+08,0,-285.011,47869.6,0
7200,Venus,1.082e+11,2.52144e+08,0,-81.6391,35020,0
7200,Earth,1.496e+11,2.14416e+08,0,-42.7069,29780,0
7200,Mars,2.279e+11,1.73736e+08,0,-18.4003,24130,0
7200,Jupiter,7.785e+11,9.4104e+07,0,-1.57645,13070,0
7200,Saturn,1.433e+12,6.9768e+07,0,-0.467565,9690,0
7200,Uranus,2.877e+12,4.9032e+07,0,-0.115797,6810,0
7200,Neptune,4.503e+12,3.9096e+07,0,-0.0472486,5430,0
10800,Sun,21.8877,0.00404602,0,0.00303996,8.42921e-07,0
10800,Mercury,5.79069e+10,5.1699e+08,0,-427.517,47868.7,0
10800,Venus,1.08199e+11,3.78215e+08,0,-122.459,35019.9,0
10800,Earth,1.496e+11,3.21624e+08,0,-64.0604,29780,0
10800,Mars,2.279e+11,2.60604e+08,0,-27.6004,24130,0
10800,Jupiter,7.785e+11,1.41156e+08,0,-2.36468,13070,0
10800,Saturn,1.433e+12,1.04652e+08,0,-0.701348,9690,0
10800,Uranus,2.877e+12,7.3548e+07,0,-0.173695,6810,0
10800,Neptune,4.503e+12,5.8644e+07,0,-0.0708729,5430,0
14400,Sun,36.4795,0.0101151,0,0.00405328,1.68584e-06,0
14400,Mercury,5.79049e+10,6.89313e+08,0,-570.02,47867.5,0
14400,Venus,1.08199e+11,5.04286e+08,0,-163.278,35019.7,0
14400,Earth,1.49599e+11,4.28831e+08,0,-85.4138,29779.9,0
14400,Mars,2.279e+11,3.47472e+08,0,-36.8005,24130,0
14400,Jupiter,7.785e+11,1.88208e+08,0,-3.1529,13070,0
14400,Saturn,1.433e+12,1.39536e+08,0,-0.935131,9690,0
14400,Uranus,2.877e+12,9.8064e+07,0,-0.231593,6810,0
14400,Neptune,4.503e+12,7.8192e+07,0,-0.0944972,5430,0
18000,Sun,54.7192,0.0202301,0,0.00506659,2.80974e-06,0
18000,Mercury,5.79023e+10,8.61629e+08,0,-712.52,47865.8,0
18000,Venus,1.08198e+11,6.30357e+08,0,-204.097,35019.5,0
18000,Earth,1.49599e+11,5.36039e+08,0,-106.767,29779.8,0
18000,Mars,2.279e+11,4.3434e+08,0,-46.0006,24130,0
18000,Jupiter,7.785e+11,2.3526e+08,0,-3.94113,13070,0
18000,Saturn,1.433e+12,1.7442e+08,0,-1.16891,9690,0
18000,Uranus,2.877e+12,1.2258e+08,0,-0.289492,6810,0
18000,Neptune,4.503e+12,9.774e+07,0,-0.118121,5430,0
21600,Sun,76.6069,0.0354028,0,0.00607991,4.21462e-06,0
21600,Mercury,5.78992e+10,1.03394e+09,0,-855.016,47863.6,0
21600,Venus,1.08197e+11,7.56426e+08,0,-244.917,35019.3,0
21600,Earth,1.49598e+11,6.43246e+08,0,-128.121,29779.8,0
21600,Mars,2.27899e+11,5.21208e+08,0,-55.2007,24129.9,0
21600,Jupiter,7.785e+11,2.82312e+08,0,-4.72935,13070,0
21600,Saturn,1.433e+12,2.09304e+08,0,-1.4027,9690,0
21600,Uranus,2.877e+12,1.47096e+08,0,-0.34739,6810,0
21600,Neptune,4.503e+12,1.17288e+08,0,-0.141746,5430,0
25200,Sun,102.143,0.0566444,0,0.00709323,5.90047e-06,0
25200,Mercury,5.78956e+10,1.20624e+09,0,-997.506,47861.1,0
25200,Venus,1.08196e+11,8.82494e+08,0,-285.735,35019,0
25200,Earth,1.49598e+11,7.50453e+08,0,-149.474,29779.7,0
25200,Mars,2.27899e+11,6.08075e+08,0,-64.4008,24129.9,0
25200,Jupiter,7.785e+11,3.29364e+08,0,-5.51758,13070,0
25200,Saturn,1.433e+12,2.44188e+08,0,-1.63648,9690,0
25200,Uranus,2.877e+12,1.71612e+08,0,-0.405288,6810,0
25200,Neptune,4.503e+12,1.36836e+08,0,-0.16537,5430,0
28800,Sun,131.326,0.0849667,0,0.00810654,7.86728e-06,0
28800,Mercury,5.78915e+10,1.37853e+09,0,-1139.99,47858.1,0
28800,Venus,1.08195e+11,1.00856e+09,0,-326.554,35018.7,0
28800,Earth,1.49597e+11,8.57659e+08,0,-170.827,29779.6,0
28800,Mars,2.27899e+11,6.94943e+08,0,-73.6009,24129.9,0
28800,Jupiter,7.785e+11,3.76416e+08,0,-6.3058,13070,0
28800,Saturn,1.433e+12,2.79072e+08,0,-1.87026,9690,0
28800,Uranus,2.877e+12,1.96128e+08,0,-0.463187,6810,0
28800,Neptune,4.503e+12,1.56384e+08,0,-0.188994,5430,0
32400,Sun,164.158,0.121381,0,0.00911985,1.01151e-05,0
32400,Mercury,5.78869e+10,1.5508e+09,0,-1282.46,47854.7,0
32400,Venus,1.08193e+11,1.13463e+09,0,-367.372,35018.3,0
32400,Earth,1.49597e+11,9.64865e+08,0,-192.18,29779.4,0
32400,Mars,2.27899e+11,7.8181e+08,0,-82.801,24129.9,0
32400,Jupiter,7.785e+11,4.23468e+08,0,-7.09403,13070,0
32400,Saturn,1.433e+12,3.13956e+08,0,-2.10404,9690,0
32400,Uranus,2.877e+12,2.20644e+08,0,-0.521085,6810,0
32400,Neptune,4.503e+12,1.75932e+08,0,-0.212619,5430,0
36000,Sun,200.637,0.166899,0,0.0101332,1.26438e-05,0
36000,Mercury,5.78818e+10,1.72307e+09,0,-1424.93,47850.9,0
36000,Venus,1.08192e+11,1.26069e+09,0,-408.19,35017.9,0
36000,Earth,1.49596e+11,1.07207e+09,0,-213.533,29779.3,0
36000,Mars,2.27898e+11,8.68678e+08,0,-92.0011,24129.8,0
36000,Jupiter,7.785e+11,4.7052e+08,0,-7.88225,13070,0
36000,Saturn,1.433e+12,3.4884e+08,0,-2.33783,9690,0
36000,Uranus,2.877e+12,2.4516e+08,0,-0.578983,6810,0
36000,Neptune,4.503e+12,1.9548e+08,0,-0.236243,5430,0
39600,Sun,240.764,0.222531,0,0.0111465,1.54535e-05,0
39600,Mercury,5.78761e+10,1.89532e+09,0,-1567.38,47846.7,0
39600,Venus,1.0819e+11,1.38675e+09,0,-449.007,35017.4,0
39600,Earth,1.49595e+11,1.17928e+09,0,-234.887,29779.2,0
39600,Mars,2.27898e+11,9.55545e+08,0,-101.201,24129.8,0
39600,Jupiter,7.785e+11,5.17572e+08,0,-8.67048,13070,0
39600,Saturn,1.433e+12,3.83724e+08,0,-2.57161,9690,0
39600,Uranus,2.877e+12,2.69676e+08,0,-0.636882,6810,0
39600,Neptune,4.503e+12,2.15028e+08,0,-0.259867,5430,0
43200,Sun,284.539,0.28929,0,0.0121598,1.85442e-05,0
43200,Mercury,5.787e+10,2.06755e+09,0,-1709.83,47842,0
43200,Venus,1.08189e+11,1.51282e+09,0,-489.824,35016.9,0
43200,Earth,1.49594e+11,1.28648e+09,0,-256.239,29779,0
43200,Mars,2.27897e+11,1.04241e+09,0,-110.401,24129.8,0
43200,Jupiter,7.785e+11,5.64624e+08,0,-9.4587,13070,0
43200,Saturn,1.433e+12,4.18608e+08,0,-2.80539,9690,0
43200,Uranus,2.877e+12,2.94192e+08,0,-0.69478,6810,0
43200,Neptune,4.503e+12,2.34576e+08,0,-0.283491,5430,0
46800,Sun,331.962,0.368187,0,0.0131731,2.19158e-05,0
46800,Mercury,5.78633e+10,2.23976e+09,0,-1852.26,47836.9,0
46800,Venus,1.08187e+11,1.63887e+09,0,-530.64,35016.3,0
46800,Earth,1.49593e+11,1.39368e+09,0,-277.592,29778.8,0
